,AgeAsOfSale,AgeGarageAsOfSale,Alley,BedroomAbvGr,BldgType,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFullBath,CentralAir,Condition1,ConditionIndex,EnclosedPorch,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageCars,GarageFinish,GarageType,GoodOpenPorch,GoodScreenPorch,GoodWoodDeck,HalfBath,HasAGoodPool,Heating,HouseStyle,KitchenAbvGr,LandContour,LandSlope,LotAreaGood,LotConfig,LotShape,MSSubClass,MSZoning,MasVnrType,MiscFeature,Neighborhood,PavedDrive,QualIndex,RoofStyle,SaleCondition,SalePrice,SoldIn2008,Street,TotRmsAbvGrd,Utilities,YearsSinceRemod
10,43,0.0,None,3,1Fam,No,Rec,Unf,1.0,Y,Norm,24,0,HdBoard,HdBoard,None,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,None,None,Sawyer,Y,45,Hip,Normal,129500.0,0,Pave,5,AllPub,43
11,1,0.0,None,4,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,WdShing,Wd Shng,None,Gd,2,PConc,3,Typ,3.0,Fin,BuiltIn,0,0,0,0,0,GasA,2Story,1,Lvl,Gtl,2,Inside,IR1,60,RL,Stone,None,NridgHt,Y,113,Hip,Partial,345000.0,0,Pave,11,AllPub,0
12,46,0.0,None,2,1Fam,No,ALQ,Unf,1.0,Y,Norm,20,0,HdBoard,Plywood,None,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,1,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR2,20,RL,None,None,Sawyer,Y,45,Hip,Normal,144000.0,0,Pave,4,AllPub,46
13,1,0.0,None,3,1Fam,Av,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,Stone,None,CollgCr,Y,75,Gable,Partial,279500.0,0,Pave,7,AllPub,0
14,48,0.0,None,2,1Fam,No,BLQ,Unf,1.0,Y,Norm,20,176,MetalSd,MetalSd,GdWo,Fa,1,CBlock,1,Typ,1.0,RFn,Attchd,1,0,0,1,0,GasA,1Story,1,Lvl,Gtl,2,Corner,IR1,20,RL,BrkFace,None,NAmes,Y,56,Hip,Normal,157000.0,0,Pave,5,AllPub,48
15,78,62.0,None,2,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,Wd Sdng,Wd Sdng,GdPrv,,0,BrkTil,1,Typ,2.0,Unf,Detchd,1,0,0,0,0,GasA,1.5Unf,1,Lvl,Gtl,1,Corner,Reg,45,RM,None,None,BrkSide,Y,69,Gable,Normal,132000.0,0,Pave,5,AllPub,6
16,40,0.0,None,2,1Fam,No,ALQ,Unf,1.0,Y,Norm,24,0,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,2.0,Fin,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,CulDSac,IR1,20,RL,BrkFace,Shed,NAmes,Y,56,Gable,Normal,149000.0,0,Pave,5,AllPub,40
17,39,0.0,None,2,Duplex,None,None,None,0.0,Y,Norm,15,0,MetalSd,MetalSd,None,,0,Slab,2,Typ,2.0,Unf,CarPort,0,0,0,0,0,GasA,1Story,2,Lvl,Gtl,2,Inside,Reg,90,RL,None,Shed,Sawyer,Y,31,Gable,Normal,90000.0,0,Pave,6,AllPub,39
18,4,0.0,None,3,1Fam,No,GLQ,Unf,1.0,Y,RRAe,24,0,VinylSd,VinylSd,None,,0,PConc,1,Typ,2.0,Unf,Detchd,1,0,0,1,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,None,None,SawyerW,Y,47,Gable,Normal,159000.0,0,Pave,6,AllPub,4
19,51,0.0,None,3,1Fam,No,LwQ,Unf,0.0,Y,Norm,20,0,BrkFace,Plywood,MnPrv,,0,CBlock,1,Min1,1.0,Unf,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NAmes,Y,45,Hip,Abnorml,139000.0,0,Pave,6,AllPub,44
20,1,0.0,None,4,1Fam,Av,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,3.0,RFn,BuiltIn,1,0,1,1,0,GasA,2Story,1,Lvl,Gtl,2,Corner,IR1,60,RL,BrkFace,None,NridgHt,Y,92,Gable,Partial,325300.0,0,Pave,9,AllPub,0
21,77,0.0,Grvl,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,205,Wd Sdng,Wd Sdng,GdPrv,Gd,1,PConc,1,Typ,1.0,Unf,Attchd,0,0,0,0,0,GasA,1.5Unf,1,Bnk,Gtl,1,Inside,Reg,45,RM,None,None,IDOTRR,N,71,Gable,Normal,139400.0,0,Pave,6,AllPub,57
22,6,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,None,CollgCr,Y,90,Hip,Normal,230000.0,0,Pave,7,AllPub,6
23,31,0.0,None,3,TwnhsE,No,GLQ,Unf,1.0,Y,Norm,20,0,CemntBd,CmentBd,None,TA,1,PConc,1,Typ,2.0,Unf,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,120,RM,None,None,MeadowV,Y,47,Gable,Normal,129900.0,0,Pave,6,AllPub,31
24,42,0.0,None,3,1Fam,Mn,Rec,ALQ,1.0,Y,Norm,26,0,Plywood,Plywood,MnPrv,TA,1,CBlock,1,Typ,1.0,Unf,Attchd,1,0,1,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,IR1,20,RL,None,None,Sawyer,Y,47,Gable,Normal,154000.0,0,Pave,6,AllPub,9
25,2,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Corner,Reg,20,RL,Stone,None,NridgHt,Y,90,Gable,Normal,256300.0,0,Pave,7,AllPub,2
26,59,54.0,None,3,1Fam,Mn,BLQ,Rec,0.0,Y,Norm,20,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,2.0,Unf,Detchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,1,Corner,Reg,20,RL,None,None,NAmes,Y,47,Gable,Normal,134800.0,0,Pave,5,AllPub,10
27,3,1.0,None,3,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,Stone,None,NridgHt,Y,92,Gable,Normal,306000.0,0,Pave,7,AllPub,2
28,49,0.0,None,2,1Fam,Gd,BLQ,Unf,1.0,Y,Norm,20,0,MetalSd,MetalSd,None,Gd,2,CBlock,1,Typ,1.0,RFn,Attchd,1,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,CulDSac,IR1,20,RL,None,None,NAmes,Y,45,Gable,Normal,207500.0,0,Pave,6,AllPub,9
29,81,-7.0,None,1,1Fam,No,Unf,Unf,0.0,N,Feedr,18,87,MetalSd,MetalSd,None,,0,BrkTil,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,IR1,30,RM,None,None,BrkSide,Y,32,Gable,Normal,68500.0,0,Pave,4,AllPub,58
30,88,0.0,Pave,3,1Fam,No,Unf,Unf,0.0,N,Feedr,16,172,BrkFace,BrkFace,MnPrv,,0,BrkTil,1,Typ,1.0,Unf,Detchd,1,0,0,0,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,70,C (all),None,None,IDOTRR,N,36,Gambrel,Normal,40000.0,0,Pave,6,AllPub,58
31,42,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,22,0,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,1.0,Unf,Attchd,1,0,0,1,0,GasA,1Story,1,Lvl,Gtl,1,CulDSac,IR1,20,RL,None,None,Sawyer,Y,47,Gable,Normal,149350.0,0,Pave,6,AllPub,2
32,1,0.0,None,3,1Fam,Av,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Corner,Reg,20,RL,None,None,CollgCr,Y,92,Gable,Normal,179900.0,0,Pave,7,AllPub,1
33,51,0.0,None,4,1Fam,No,Rec,Unf,0.0,Y,Norm,22,0,BrkFace,BrkFace,None,Gd,1,CBlock,1,Typ,2.0,RFn,Attchd,0,0,0,1,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,None,None,NAmes,Y,47,Hip,Normal,165500.0,0,Pave,6,AllPub,51
35,2,0.0,None,4,1Fam,Av,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,3.0,Fin,BuiltIn,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,Reg,60,RL,Stone,None,NridgHt,Y,92,Gable,Normal,309000.0,0,Pave,9,AllPub,1
36,15,1.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,1,Typ,2.0,Unf,Attchd,1,0,1,1,0,GasA,1Story,1,Lvl,Gtl,2,Corner,Reg,20,RL,None,None,CollgCr,Y,47,Gable,Normal,145000.0,0,Pave,6,AllPub,14
37,55,0.0,None,3,1Fam,No,Rec,Unf,0.0,Y,Norm,22,0,Wd Sdng,Wd Sdng,None,TA,1,CBlock,1,Typ,2.0,Fin,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,None,NAmes,Y,45,Hip,Normal,153000.0,0,Pave,5,AllPub,19
38,57,0.0,None,3,1Fam,No,GLQ,Unf,1.0,Y,Norm,22,0,VinylSd,VinylSd,None,,0,CBlock,1,Typ,1.0,Unf,Detchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NAmes,Y,47,Gable,Abnorml,109000.0,0,Pave,5,AllPub,3
39,53,-1955.0,None,2,Duplex,None,None,None,0.0,N,Norm,10,0,AsbShng,Plywood,None,,0,PConc,2,Typ,0.0,None,None,0,0,0,0,0,GasA,1Story,2,Lvl,Gtl,1,Inside,Reg,90,RL,None,None,Edwards,N,24,Gable,AdjLand,82000.0,0,Pave,6,AllPub,53
40,41,0.0,None,3,1Fam,No,Rec,Unf,0.0,Y,Norm,24,0,Wd Sdng,Wd Sdng,GdWo,TA,1,CBlock,2,Typ,2.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,BrkFace,None,NAmes,Y,56,Gable,Abnorml,160000.0,0,Pave,6,AllPub,41
41,48,0.0,None,2,1Fam,Gd,BLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,2,CBlock,1,Typ,1.0,RFn,Attchd,1,0,0,1,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,None,None,Timber,P,45,Gable,Normal,170000.0,0,Pave,5,AllPub,48
42,24,0.0,None,2,1Fam,Av,ALQ,LwQ,1.0,Y,Norm,24,0,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,2.0,RFn,Attchd,0,0,1,0,0,GasA,SFoyer,1,Lvl,Gtl,1,CulDSac,IR1,85,RL,None,None,SawyerW,Y,49,Gable,Normal,144000.0,0,Pave,5,AllPub,24
43,33,2.0,None,3,1Fam,Av,LwQ,BLQ,1.0,Y,Norm,20,0,VinylSd,VinylSd,MnPrv,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,CulDSac,IR1,20,RL,None,None,CollgCr,Y,47,Hip,Normal,130250.0,0,Pave,5,AllPub,28
44,47,0.0,None,3,1Fam,No,ALQ,BLQ,1.0,Y,Norm,24,0,BrkFace,Wd Sdng,None,,0,CBlock,1,Typ,1.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,NAmes,Y,45,Gable,Normal,141000.0,0,Pave,6,AllPub,47
45,5,0.0,None,2,TwnhsE,No,GLQ,Unf,1.0,Y,Norm,24,0,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,120,RL,BrkFace,None,NridgHt,Y,113,Hip,Normal,319900.0,0,Pave,6,AllPub,5
46,6,0.0,None,1,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,Ex,1,PConc,1,Typ,2.0,RFn,Attchd,0,1,0,1,0,GasA,1.5Fin,1,Lvl,Gtl,2,CulDSac,IR1,50,RL,None,None,Mitchel,Y,77,Gable,Abnorml,239686.0,0,Pave,6,AllPub,6
47,1,0.0,None,3,1Fam,Av,GLQ,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,3.0,RFn,Attchd,1,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,FV,None,None,Somerst,Y,90,Gable,Normal,249700.0,0,Pave,7,AllPub,1
48,89,-1920.0,None,2,2fmCon,No,Unf,Unf,0.0,Y,Norm,17,102,MetalSd,MetalSd,None,,0,BrkTil,2,Typ,0.0,None,None,0,0,0,0,0,GasA,2Story,3,Lvl,Gtl,1,Inside,Reg,190,RM,None,None,OldTown,N,31,Gable,Partial,113000.0,0,Pave,8,AllPub,1
49,41,0.0,None,3,1Fam,No,BLQ,Unf,1.0,Y,Norm,24,0,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,1.0,Unf,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,Reg,20,RL,None,None,Sawyer,Y,45,Gable,Normal,127000.0,0,Pave,6,AllPub,41
50,10,0.0,None,3,1Fam,Av,GLQ,Unf,0.0,Y,Norm,22,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,Fin,Attchd,1,0,0,0,0,GasA,2Story,1,Lvl,Gtl,2,Corner,IR2,60,RL,None,None,Gilbert,Y,58,Gable,Normal,177000.0,0,Pave,6,AllPub,10
51,72,51.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,20,0,Wd Sdng,Wd Sdng,MnPrv,Gd,1,PConc,1,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,1.5Fin,1,Lvl,Gtl,1,Inside,Reg,50,RM,None,Shed,BrkSide,Y,56,Gable,Normal,114500.0,0,Pave,6,AllPub,56
52,47,0.0,None,2,Duplex,Gd,LwQ,GLQ,1.0,N,RRNn,20,0,Wd Sdng,Wd Sdng,None,,0,CBlock,1,Typ,2.0,Unf,CarPort,0,0,0,0,0,GasA,1Story,1,Bnk,Mod,1,Corner,IR2,90,RM,None,None,IDOTRR,Y,45,Gable,Normal,110000.0,0,Grvl,5,AllPub,47
53,25,0.0,None,0,1Fam,Gd,GLQ,Unf,2.0,Y,Norm,22,0,WdShing,Wd Shng,None,Gd,1,CBlock,0,Typ,3.0,Fin,Attchd,1,0,1,1,0,GasA,1Story,1,Low,Gtl,4,Inside,IR1,20,RL,None,None,Veenker,Y,109,Gable,Normal,385000.0,0,Pave,5,AllPub,19
54,52,7.0,None,3,1Fam,No,ALQ,Unf,0.0,Y,Norm,20,0,MetalSd,MetalSd,MnPrv,TA,1,CBlock,1,Min1,2.0,Unf,Detchd,1,0,0,0,0,GasA,SLvl,1,Bnk,Mod,1,Inside,Reg,80,RL,None,None,NAmes,Y,45,Gable,Normal,130000.0,0,Pave,6,AllPub,52
55,44,0.0,None,3,1Fam,No,BLQ,Unf,0.0,Y,Norm,22,0,HdBoard,Plywood,None,Gd,1,CBlock,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,BrkFace,None,NAmes,Y,56,Gable,Normal,180500.0,0,Pave,7,AllPub,44
56,10,0.0,Pave,3,Twnhs,No,GLQ,Unf,1.0,Y,Norm,24,0,MetalSd,MetalSd,None,,0,PConc,2,Typ,2.0,Fin,Attchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,160,FV,BrkFace,None,Somerst,Y,90,Gable,Abnorml,172500.0,0,Pave,7,AllPub,9
57,2,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Corner,IR1,60,RL,None,None,CollgCr,Y,75,Gable,Normal,196500.0,0,Pave,7,AllPub,2
58,0,0.0,None,3,1Fam,Gd,Unf,Unf,0.0,Y,Norm,24,37,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,3.0,Fin,BuiltIn,0,0,0,1,0,GasA,2Story,1,HLS,Gtl,2,CulDSac,IR2,60,RL,BrkFace,None,StoneBr,Y,130,Hip,Partial,438780.0,0,Pave,10,AllPub,0
59,36,1.0,None,2,1Fam,Av,ALQ,Unf,0.0,Y,Norm,24,0,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Bnk,Gtl,1,Inside,Reg,20,RL,None,None,CollgCr,Y,45,Gable,Normal,124900.0,0,Pave,4,AllPub,36
60,2,2.0,None,3,1Fam,No,ALQ,Unf,1.0,Y,RRAe,24,0,VinylSd,VinylSd,None,,0,PConc,1,Typ,2.0,Unf,Detchd,1,0,0,1,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,None,None,SawyerW,Y,60,Gable,Partial,158000.0,0,Pave,5,AllPub,2
61,87,15.0,None,3,1Fam,No,Unf,Unf,0.0,N,Norm,18,144,MetalSd,MetalSd,None,,0,BrkTil,1,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,2.5Unf,1,Lvl,Gtl,1,Inside,Reg,75,RM,None,None,IDOTRR,N,43,Gable,Normal,101000.0,0,Pave,6,AllPub,11
62,1,0.0,None,2,TwnhsE,Mn,GLQ,Unf,0.0,Y,Norm,26,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Inside,IR1,120,RL,Stone,None,NridgHt,Y,90,Gable,Normal,202500.0,0,Pave,6,AllPub,1
63,89,69.0,None,3,1Fam,No,Unf,Unf,0.0,Y,RRAn,22,64,Stucco,Stucco,GdPrv,,0,BrkTil,2,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,2Story,1,Bnk,Gtl,2,Inside,IR1,70,RM,None,None,OldTown,Y,69,Gable,Normal,140000.0,0,Pave,9,AllPub,60
64,12,1.0,None,3,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,GdPrv,,0,PConc,2,Typ,2.0,RFn,Attchd,0,0,1,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,BrkFace,None,CollgCr,Y,73,Gable,Normal,219500.0,0,Pave,8,AllPub,11
65,3,0.0,None,4,1Fam,Av,Unf,Unf,0.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,3.0,RFn,BuiltIn,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,BrkFace,None,NridgHt,Y,92,Gable,Normal,317000.0,0,Pave,9,AllPub,2
66,40,0.0,None,3,1Fam,Gd,GLQ,Unf,1.0,Y,PosA,20,0,Plywood,Plywood,None,Gd,1,CBlock,2,Min1,2.0,RFn,Attchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,BrkFace,None,NAmes,Y,71,Gable,Normal,180000.0,0,Pave,7,AllPub,21
67,4,0.0,None,3,1Fam,Av,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,BrkFace,None,CollgCr,Y,75,Gable,Normal,226000.0,0,Pave,7,AllPub,4
68,65,0.0,None,2,1Fam,No,Unf,Unf,0.0,Y,Artery,22,0,MetalSd,MetalSd,None,,0,CBlock,1,Typ,1.0,Unf,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Corner,Reg,30,RM,None,None,OldTown,Y,36,Gable,Normal,80000.0,0,Pave,4,AllPub,60
69,53,0.0,None,3,1Fam,No,BLQ,Unf,0.0,Y,Norm,20,114,BrkFace,AsbShng,None,TA,1,CBlock,2,Typ,2.0,Fin,Attchd,0,0,0,0,0,GasW,1.5Fin,1,Lvl,Gtl,2,Corner,Reg,50,RL,None,None,ClearCr,Y,71,Gable,Normal,225000.0,0,Pave,7,AllPub,53
70,34,0.0,None,3,1Fam,Gd,ALQ,Unf,1.0,Y,Norm,26,0,Plywood,Plywood,None,Gd,2,CBlock,2,Typ,2.0,Fin,Attchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,IR1,20,RL,BrkFace,None,NAmes,Y,71,Gable,Normal,244000.0,0,Pave,8,AllPub,34
71,25,5.0,None,2,1Fam,No,ALQ,Unf,1.0,Y,Norm,20,0,HdBoard,Plywood,None,,0,CBlock,1,Typ,2.0,Unf,Detchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,1,Corner,Reg,20,RL,None,None,Mitchel,Y,36,Gable,Normal,129500.0,0,Pave,4,AllPub,1
72,11,0.0,None,3,1Fam,No,Unf,Unf,0.0,Y,Norm,22,0,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,2.0,Fin,Attchd,1,1,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Corner,IR1,60,RL,BrkFace,None,Gilbert,Y,71,Gable,Normal,185000.0,0,Pave,7,AllPub,11
73,56,35.0,None,3,1Fam,No,ALQ,BLQ,1.0,Y,Norm,22,0,Wd Sdng,Wd Sdng,GdWo,,0,CBlock,1,Typ,2.0,Unf,Attchd,0,0,0,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,BrkFace,None,NAmes,Y,45,Gable,Normal,144900.0,0,Pave,6,AllPub,7
74,95,0.0,None,3,1Fam,No,Unf,Unf,0.0,N,Norm,24,202,VinylSd,VinylSd,None,,0,CBlock,2,Typ,1.0,Unf,Detchd,0,0,0,0,0,GasA,2Story,2,Lvl,Gtl,1,Corner,Reg,50,RM,None,None,OldTown,Y,29,Gambrel,Normal,107400.0,0,Pave,8,AllPub,60
75,36,0.0,None,2,Twnhs,Gd,GLQ,Unf,1.0,Y,Norm,20,0,CemntBd,CmentBd,GdWo,,0,CBlock,1,Typ,1.0,Unf,BuiltIn,1,0,0,0,0,GasA,SLvl,1,Lvl,Gtl,1,Inside,Reg,180,RM,None,None,MeadowV,Y,38,Gable,Normal,91000.0,0,Pave,5,AllPub,36
