,TotRmsAbvGrd,1stFlrSF,OverallQual,FullBath,LotFrontage,YearRemodAdd,YearBuilt,GrLivArea,ExterQual_3.0,ExterQual_5.0,ExterQual_7.0,ExterQual_9.0,ExterQual_nan
34,6,1561,9,2,60.0,2005,2005,1561,0,0,0,1,0
35,9,1132,8,3,108.0,2005,2004,2452,0,0,1,0,0
36,6,1097,5,1,112.0,1995,1994,1097,0,1,0,0,0
37,5,1297,5,1,74.0,1990,1954,1297,0,1,0,0,0
38,5,1057,5,1,68.0,2007,1953,1057,0,1,0,0,0
39,6,1152,4,2,65.0,1955,1955,1152,0,1,0,0,0
40,6,1324,6,2,84.0,1965,1965,1324,0,1,0,0,0
41,5,1328,5,1,115.0,1959,1959,1328,0,1,0,0,0
42,5,884,5,1,0.0,1983,1983,884,0,1,0,0,0
43,5,938,5,1,0.0,1980,1975,938,0,1,0,0,0
44,6,1150,5,1,70.0,1959,1959,1150,0,1,0,0,0
45,6,1752,9,2,61.0,2005,2005,1752,0,0,0,1,0
46,6,1518,7,1,48.0,2003,2003,2149,0,0,1,0,0
47,7,1656,8,2,84.0,2006,2006,1656,0,0,1,0,0
48,8,736,4,2,33.0,2008,1920,1452,0,1,0,0,0
49,6,955,5,1,66.0,1966,1966,955,0,1,0,0,0
50,6,794,6,2,0.0,1997,1997,1470,0,1,0,0,0
51,6,816,6,1,52.0,1950,1934,1176,0,1,0,0,0
52,5,816,5,1,110.0,1963,1963,816,1,0,0,0,0
53,5,1842,9,0,68.0,1987,1981,1842,0,0,1,0,0
54,6,1360,5,1,60.0,1955,1955,1360,0,1,0,0,0
55,7,1425,6,2,100.0,1964,1964,1425,0,1,0,0,0
56,7,983,8,2,24.0,2000,1999,1739,0,0,1,0,0
57,7,860,7,2,89.0,2004,2004,1720,0,0,1,0,0
58,10,1426,10,3,66.0,2006,2006,2945,0,0,0,1,0
59,4,780,5,1,60.0,1972,1972,780,0,1,0,0,0
60,5,1158,6,1,63.0,2004,2004,1158,0,1,0,0,0
61,6,581,5,1,60.0,1996,1920,1111,0,1,0,0,0
62,6,1370,8,2,44.0,2006,2006,1370,0,0,1,0,0
63,9,902,7,2,50.0,1950,1921,1710,0,1,0,0,0
64,8,1057,7,2,0.0,1998,1997,2034,0,1,0,0,0
65,9,1143,8,2,76.0,2005,2004,2473,0,0,1,0,0
66,7,2207,7,2,0.0,1989,1970,2207,0,1,0,0,0
67,7,1479,7,2,72.0,2003,2003,1479,0,0,1,0,0
68,4,747,4,1,47.0,1950,1945,747,0,1,0,0,0
69,7,1304,7,2,81.0,1953,1953,2287,0,0,1,0,0
70,8,2223,7,2,95.0,1973,1973,2223,0,1,0,0,0
71,4,845,4,1,69.0,2006,1982,845,0,1,0,0,0
72,7,885,7,2,74.0,1998,1998,1718,0,1,0,0,0
73,6,1086,5,1,85.0,2003,1954,1086,0,1,0,0,0
74,8,840,3,2,60.0,1950,1915,1605,0,0,1,0,0
75,5,526,4,1,21.0,1973,1973,988,0,1,0,0,0
76,4,952,4,1,0.0,1956,1956,952,0,1,0,0,0
77,6,1072,5,1,50.0,2001,1948,1285,0,1,0,0,0
78,8,1768,4,2,72.0,1968,1968,1768,0,1,0,0,0
79,5,682,5,1,60.0,1981,1910,1230,0,1,0,0,0
80,8,1182,6,2,100.0,1968,1968,2142,0,1,0,0,0
81,5,1337,6,2,32.0,1998,1998,1337,0,1,0,0,0
82,6,1563,8,2,78.0,2007,2007,1563,0,1,0,0,0
83,6,1065,5,1,80.0,1960,1960,1065,0,1,0,0,0
84,7,804,7,2,0.0,1996,1995,1474,0,1,0,0,0
85,9,1301,8,2,121.0,1992,1991,2417,0,0,1,0,0
86,6,684,6,2,122.0,2005,2005,1560,0,0,1,0,0
87,4,612,6,2,40.0,2009,2009,1224,0,0,1,0,0
88,6,1013,3,1,105.0,1982,1915,1526,1,0,0,0,0
89,5,990,4,1,60.0,1995,1994,990,0,1,0,0,0
90,4,1040,4,1,60.0,1950,1950,1040,0,1,0,0,0
91,6,1235,5,1,85.0,1961,1961,1235,0,1,0,0,0
92,5,964,5,1,80.0,2006,1921,964,0,1,0,0,0
93,9,1260,6,2,60.0,1998,1910,2291,0,1,0,0,0
94,7,905,6,2,69.0,1997,1997,1786,0,1,0,0,0
95,6,680,6,2,0.0,1993,1993,1470,0,0,0,1,0
96,6,1588,7,2,78.0,1999,1999,1588,0,0,1,0,0
97,6,960,4,1,73.0,1965,1965,960,0,1,0,0,0
98,5,835,5,1,85.0,1950,1920,835,0,1,0,0,0
99,6,1225,4,1,77.0,1959,1959,1225,0,1,0,0,0
100,6,1610,6,2,0.0,2001,1977,1610,0,1,0,0,0
101,7,977,6,2,77.0,1985,1985,1732,0,0,1,0,0
102,8,1535,5,2,64.0,1979,1979,1535,0,1,0,0,0
103,6,1226,7,2,94.0,2009,2009,1226,0,1,0,0,0
104,7,1226,7,1,0.0,1950,1931,1818,0,1,0,0,0
105,9,1053,8,2,75.0,2004,2003,1992,0,0,1,0,0
106,6,1047,4,1,60.0,1995,1885,1047,0,1,0,0,0
107,5,789,5,1,50.0,1950,1948,789,0,1,0,0,0
108,7,997,5,2,85.0,2005,1919,1517,0,1,0,0,0
109,7,1844,6,2,105.0,1977,1977,1844,0,1,0,0,0
110,7,1216,6,2,75.0,1972,1954,1855,0,1,0,0,0
111,7,774,7,2,0.0,2000,2000,1430,0,1,0,0,0
112,10,1282,7,2,77.0,2007,2007,2696,0,0,1,0,0
113,7,2259,6,2,0.0,1953,1953,2259,0,1,0,0,0
114,9,1436,6,2,61.0,2002,1945,2320,0,1,0,0,0
115,5,729,6,2,34.0,1999,1999,1458,0,1,0,0,0
116,6,1092,5,1,0.0,1962,1962,1092,0,1,0,0,0
117,5,1125,5,1,74.0,2007,2006,1125,0,1,0,0,0
118,11,1699,7,3,90.0,1990,1990,3222,0,1,0,0,0
119,8,728,6,2,65.0,2006,2005,1456,0,0,1,0,0
120,4,988,6,1,0.0,1969,1969,988,0,1,0,0,0
121,4,772,4,1,50.0,1950,1939,1123,0,1,0,0,0
122,5,1080,6,1,75.0,1958,1958,1080,0,1,0,0,0
123,5,1199,6,2,55.0,1993,1993,1199,0,0,1,0,0
124,7,1586,6,2,48.0,1998,1979,1586,0,1,0,0,0
125,5,520,6,1,60.0,1982,1935,754,0,1,0,0,0
126,5,958,6,2,0.0,1976,1976,958,0,1,0,0,0
127,5,840,5,1,55.0,1950,1930,840,0,1,0,0,0
128,6,660,6,1,69.0,1966,1966,1348,0,1,0,0,0
129,6,1053,5,1,69.0,1991,1958,1053,0,1,0,0,0
130,8,1216,7,2,88.0,1966,1966,2157,0,1,0,0,0
131,7,1022,6,2,0.0,2000,2000,2054,0,0,1,0,0
132,7,1327,5,1,75.0,2002,1959,1327,0,1,0,0,0
133,6,1296,8,2,0.0,2002,2001,1296,0,0,1,0,0
134,7,1721,5,2,78.0,1993,1968,1721,0,1,0,0,0
135,7,1682,7,2,80.0,1970,1970,1682,0,1,0,0,0
136,5,1214,5,2,0.0,1967,1967,1214,0,1,0,0,0
137,9,1959,7,3,82.0,1989,1988,1959,0,1,0,0,0
138,7,1004,8,2,73.0,2000,1999,1852,0,0,1,0,0
139,7,928,6,2,65.0,1997,1997,1764,0,1,0,0,0
140,5,864,4,1,70.0,1971,1971,864,0,1,0,0,0
141,7,1734,7,2,78.0,2005,2005,1734,0,0,1,0,0
142,6,910,5,2,71.0,1952,1952,1385,0,1,0,0,0
143,6,1501,7,2,78.0,1999,1999,1501,0,0,1,0,0
144,10,1728,5,2,70.0,1963,1963,1728,0,1,0,0,0
145,7,970,6,2,24.0,2006,2004,1709,0,0,1,0,0
146,5,875,5,1,51.0,1993,1931,875,0,1,0,0,0
147,8,884,7,2,0.0,2001,2001,2035,0,0,1,0,0
148,6,1080,7,1,63.0,2005,2004,1080,0,1,0,0,0
149,7,896,5,1,0.0,1950,1936,1344,0,1,0,0,0
150,5,969,5,1,120.0,1975,1975,969,0,1,0,0,0
151,6,1710,8,2,107.0,2008,2007,1710,0,0,1,0,0
152,8,1097,6,2,0.0,1971,1971,1993,0,1,0,0,0
153,4,1252,6,1,0.0,1975,1960,1252,0,1,0,0,0
154,7,1200,6,1,84.0,1950,1923,1200,0,1,0,0,0
155,5,572,6,1,60.0,1950,1924,1096,0,1,0,0,0
156,5,1040,5,1,60.0,1950,1950,1040,0,1,0,0,0
157,8,774,8,2,92.0,2010,2009,1968,0,0,1,0,0
158,8,991,7,2,100.0,2005,2004,1947,0,0,1,0,0
159,9,1392,7,2,134.0,2006,2005,2462,0,0,1,0,0
160,6,1232,6,2,0.0,1984,1984,1232,0,1,0,0,0
161,10,1572,9,2,110.0,2004,2003,2668,0,0,1,0,0
162,7,1541,7,2,95.0,2005,2005,1541,0,0,1,0,0
163,4,882,4,1,55.0,1956,1956,882,0,1,0,0,0
164,5,1149,6,2,40.0,2004,1926,1616,0,1,0,0,0
165,6,808,5,2,62.0,1999,1940,1355,0,1,0,0,0
166,7,1867,5,1,0.0,1993,1955,1867,0,0,1,0,0
167,8,1610,8,1,86.0,2007,2007,2161,0,0,1,0,0
168,7,840,7,2,62.0,2004,2004,1720,0,0,1,0,0
169,6,1707,8,2,0.0,1981,1981,1707,0,0,1,0,0
170,7,854,5,1,0.0,1950,1941,1382,0,1,0,0,0
171,7,1656,6,1,141.0,1960,1960,1656,0,1,0,0,0
172,5,1064,7,2,44.0,1987,1987,1767,0,0,1,0,0
173,6,1362,6,1,80.0,1961,1961,1362,0,1,0,0,0
174,7,1651,6,2,47.0,1986,1986,1651,0,1,0,0,0
175,7,2158,6,2,84.0,2001,1950,2158,0,1,0,0,0
176,8,1164,6,2,97.0,1989,1988,2060,0,0,1,0,0
177,8,1252,5,2,0.0,1958,1958,1920,0,0,1,0,0
178,9,2234,9,2,63.0,2009,2008,2234,0,0,0,1,0
179,5,968,5,1,60.0,2006,1923,968,0,0,1,0,0
180,5,769,6,2,0.0,2000,2000,1525,0,0,1,0,0
181,9,901,7,1,54.0,1950,1920,1802,0,1,0,0,0
182,7,1340,5,1,60.0,2006,1957,1340,0,1,0,0,0
183,6,1362,7,2,63.0,2003,2003,2082,0,1,0,0,0
184,5,936,5,1,92.0,1991,1908,1252,0,1,0,0,0
185,12,1518,10,2,90.0,1993,1892,3608,0,0,1,0,0
186,6,1217,7,2,0.0,1991,1990,1217,0,1,0,0,0
187,8,808,5,2,60.0,1987,1916,1656,0,1,0,0,0
188,6,1224,5,0,64.0,1979,1979,1224,0,1,0,0,0
189,5,1593,8,1,41.0,2002,2001,1593,0,0,1,0,0
190,10,1549,8,2,70.0,1994,1932,2727,0,0,1,0,0
191,7,725,7,1,0.0,2004,1972,1479,0,1,0,0,0
192,6,1431,7,2,68.0,1999,1999,1431,0,0,1,0,0
193,7,970,7,2,24.0,2004,2004,1709,0,0,1,0,0
194,5,864,5,1,60.0,1972,1972,864,0,1,0,0,0
195,7,855,6,2,24.0,1976,1976,1456,0,1,0,0,0
196,8,1726,7,2,79.0,2007,2007,1726,0,0,0,1,0
197,8,1360,8,2,174.0,1990,1918,3112,0,0,1,0,0
198,8,929,6,1,92.0,1950,1912,2229,0,1,0,0,0
199,7,1713,8,2,76.0,2005,2004,1713,0,0,1,0,0
200,5,1121,4,2,80.0,2004,2003,1121,0,1,0,0,0
201,6,1279,6,2,75.0,1977,1977,1279,0,1,0,0,0
202,6,865,6,2,50.0,1950,1924,1310,0,1,0,0,0
203,3,848,6,1,0.0,2004,2004,848,0,0,1,0,0
204,5,720,5,1,50.0,1950,1947,1284,0,1,0,0,0
205,5,1442,7,2,99.0,1990,1990,1442,0,1,0,0,0
206,8,1696,5,1,40.0,1962,1962,1696,0,1,0,0,0
207,6,1100,4,1,0.0,1960,1960,1100,0,1,0,0,0
208,7,1180,7,2,0.0,1989,1988,2062,0,0,1,0,0
209,6,1092,6,1,75.0,1964,1964,1092,0,1,0,0,0
210,5,864,5,1,67.0,1950,1925,864,0,1,0,0,0
211,6,1212,6,2,83.0,2009,2009,1212,0,1,0,0,0
212,7,932,7,2,72.0,2009,2009,1852,0,1,0,0,0
213,5,990,5,1,43.0,1995,1995,990,0,1,0,0,0
214,6,689,6,1,0.0,1977,1977,1392,0,1,0,0,0
215,6,1236,5,1,72.0,1996,1957,1236,0,1,0,0,0
216,8,1436,7,2,65.0,2004,2004,1436,0,0,1,0,0
217,8,810,4,1,57.0,1950,1925,1328,0,1,0,0,0
218,8,1137,7,1,0.0,2006,1939,1954,0,0,1,0,0
219,5,1248,7,2,43.0,2006,2005,1248,0,0,1,0,0
220,5,1498,7,2,73.0,2006,2006,1498,0,0,1,0,0
221,8,1010,6,2,0.0,2002,2002,2267,0,0,1,0,0
222,6,811,6,2,85.0,1975,1975,1552,0,1,0,0,0
223,4,864,4,1,70.0,1971,1971,864,0,1,0,0,0
224,8,2392,10,2,103.0,2003,2003,2392,0,0,0,1,0
225,6,630,5,2,21.0,1971,1971,1302,0,1,0,0,0
226,9,1214,7,2,82.0,1995,1995,2520,0,0,1,0,0
227,5,483,6,1,21.0,1970,1970,987,0,1,0,0,0
228,5,912,5,1,70.0,1967,1967,912,0,1,0,0,0
229,7,1555,7,2,43.0,2006,2005,1555,0,0,1,0,0
230,6,1194,6,1,73.0,1959,1959,1194,0,1,0,0,0
231,9,1490,8,2,174.0,1996,1995,2794,0,0,1,0,0
232,5,483,6,1,21.0,1972,1972,987,0,1,0,0,0
233,5,894,5,1,75.0,1976,1976,894,0,1,0,0,0
234,8,860,6,2,0.0,2002,2002,1960,0,0,1,0,0
235,5,483,6,1,21.0,1971,1971,987,0,1,0,0,0
236,6,1414,7,2,65.0,2004,2004,1414,0,0,1,0,0
237,7,1014,7,2,0.0,2003,1993,1744,0,0,1,0,0
238,7,1694,8,2,93.0,2007,2007,1694,0,0,0,1,0
239,7,798,6,1,52.0,1950,1945,1487,0,1,0,0,0
240,7,1566,8,2,75.0,2008,2008,1566,0,0,1,0,0
241,4,866,5,1,40.0,1997,1945,866,0,1,0,0,0
242,6,889,5,1,63.0,1950,1900,1440,0,1,0,0,0
243,6,626,6,1,75.0,1980,1980,1217,0,1,0,0,0
244,8,1222,7,2,0.0,2002,1994,2110,0,0,1,0,0
245,6,1872,7,2,80.0,1988,1988,1872,0,1,0,0,0
246,9,908,6,2,69.0,1950,1910,1928,0,1,0,0,0
247,5,1375,6,1,75.0,1954,1954,1375,0,1,0,0,0
248,8,840,7,2,72.0,2003,2003,1668,0,0,1,0,0
249,7,1444,6,2,0.0,2006,1958,2144,0,0,1,0,0
250,6,1306,3,1,55.0,1966,1940,1306,0,1,0,0,0
251,5,1625,8,2,44.0,2007,2006,1625,0,0,1,0,0
252,6,798,6,2,65.0,2004,2004,1640,0,0,1,0,0
253,7,1302,6,2,85.0,1991,1964,1302,0,1,0,0,0
254,5,1314,5,1,70.0,1957,1957,1314,0,1,0,0,0
255,8,1005,7,2,66.0,1999,1999,2291,0,0,1,0,0
256,7,864,6,2,64.0,2003,2003,1728,0,0,1,0,0
257,8,1604,7,2,68.0,2006,2006,1604,0,0,1,0,0
258,7,963,7,2,80.0,2001,2001,1792,0,0,1,0,0
259,4,882,5,1,70.0,1956,1956,882,0,1,0,0,0
260,6,1382,6,1,120.0,1962,1962,1382,0,1,0,0,0
261,10,1482,8,2,69.0,2007,2007,2574,0,0,1,0,0
262,6,1212,6,1,88.0,1995,1977,1212,0,1,0,0,0
263,6,926,5,1,50.0,2001,1929,1316,0,1,0,0,0
264,4,764,5,1,30.0,2004,1925,764,0,1,0,0,0
265,7,1422,6,2,78.0,1981,1981,1422,0,1,0,0,0
266,8,802,6,2,70.0,1997,1997,1511,0,1,0,0,0
267,8,1052,5,2,60.0,1997,1939,2192,0,1,0,0,0
268,4,778,5,1,71.0,1955,1940,778,0,1,0,0,0
269,6,1113,6,1,0.0,1976,1976,1113,0,1,0,0,0
270,8,1095,8,2,84.0,2006,2006,1939,0,0,1,0,0
271,5,1363,7,1,73.0,2005,1954,1363,0,1,0,0,0
272,9,1164,8,2,92.0,2007,1999,2270,0,0,1,0,0
273,6,1632,6,2,80.0,1988,1958,1632,0,1,0,0,0
274,5,816,5,1,76.0,1982,1982,816,0,1,0,0,0
275,5,952,7,2,55.0,2007,1925,1548,0,0,1,0,0
276,7,1560,7,2,129.0,2003,2003,1560,0,0,1,0,0
277,4,864,4,1,140.0,1951,1951,864,0,1,0,0,0
278,8,2121,9,2,107.0,2007,2006,2121,0,0,0,1,0
279,8,1156,7,2,83.0,1977,1977,2022,0,1,0,0,0
280,7,1175,7,2,82.0,1989,1989,1982,0,0,1,0,0
281,5,1262,6,2,60.0,2006,2006,1262,0,0,1,0,0
282,6,1314,7,2,34.0,2008,2007,1314,0,0,1,0,0
283,6,1468,8,2,74.0,2009,2008,1468,0,0,1,0,0
284,5,1575,6,2,50.0,1992,1992,1575,0,0,1,0,0
285,5,625,7,2,35.0,2007,2006,1250,0,0,1,0,0
286,7,1085,6,1,77.0,1981,1962,1734,0,1,0,0,0
287,5,858,4,1,0.0,1971,1971,858,0,1,0,0,0
288,5,900,5,1,0.0,1967,1967,900,0,1,0,0,0
289,7,698,6,1,60.0,2003,1915,1396,0,1,0,0,0
290,8,1079,8,2,120.0,2006,2006,1919,0,0,1,0,0
291,9,936,5,2,55.0,2000,1912,1716,0,1,0,0,0
292,8,1148,5,1,60.0,2008,1949,1716,0,1,0,0,0
293,9,1468,7,2,0.0,1994,1977,2263,0,1,0,0,0
294,7,1644,6,1,80.0,1953,1953,1644,0,1,0,0,0
295,6,1003,6,1,37.0,1984,1984,1003,0,1,0,0,0
296,6,910,5,1,75.0,1950,1950,1558,0,1,0,0,0
297,7,975,7,2,66.0,1998,1997,1950,0,0,1,0,0
298,7,1041,6,1,90.0,1968,1968,1743,0,0,1,0,0
299,6,1152,6,1,80.0,2004,1950,1152,0,1,0,0,0
300,5,1336,5,1,90.0,1953,1953,1336,0,1,0,0,0
301,9,1210,8,2,66.0,1999,1998,2452,0,0,1,0,0
302,6,1541,7,2,118.0,2002,2001,1541,0,0,1,0,0
303,5,894,5,1,70.0,1972,1972,894,0,1,0,0,0
304,10,1675,7,3,87.0,2002,1880,3493,0,1,0,0,0
305,8,2000,8,2,80.0,2005,2004,2000,0,0,1,0,0
306,8,1122,7,2,116.0,1991,1990,2243,0,0,1,0,0
307,6,1035,6,1,0.0,1950,1920,1406,0,1,0,0,0
308,4,861,4,1,0.0,1950,1940,861,0,1,0,0,0
309,8,1944,9,2,90.0,2004,2003,1944,0,0,1,0,0
310,6,697,6,2,0.0,1994,1993,1501,0,1,0,0,0
311,5,972,6,1,50.0,2002,1948,972,0,1,0,0,0
312,5,793,5,1,65.0,1950,1939,1118,0,1,0,0,0
313,8,2036,7,2,150.0,1965,1965,2036,0,1,0,0,0
314,6,832,7,1,60.0,1990,1925,1641,0,1,0,0,0
315,6,716,7,2,71.0,2005,2004,1432,0,0,1,0,0
316,10,1153,7,2,94.0,1980,1980,2353,0,0,1,0,0
317,8,1088,8,2,75.0,2006,2006,1959,0,0,1,0,0
318,9,1372,7,2,90.0,1993,1993,2646,0,0,1,0,0
319,6,1472,7,2,0.0,1980,1980,1472,0,1,0,0,0
320,9,1249,9,3,111.0,2006,2006,2596,0,1,0,0,0
321,10,1136,8,2,99.0,2004,2004,2468,0,0,1,0,0
322,8,1553,7,2,86.0,1987,1986,2730,0,0,1,0,0
323,6,1163,3,1,49.0,2005,1955,1163,0,1,0,0,0
324,11,1898,7,2,96.0,2007,1967,2978,0,0,1,0,0
325,5,803,5,1,50.0,1950,1941,803,0,1,0,0,0
326,6,1719,8,1,32.0,1993,1993,1719,0,0,1,0,0
327,7,1383,6,1,80.0,1960,1960,1383,0,1,0,0,0
328,10,1445,6,2,0.0,1994,1916,2134,0,1,0,0,0
329,6,596,5,1,60.0,1950,1920,1192,0,1,0,0,0
330,10,1728,5,2,0.0,1964,1964,1728,0,1,0,0,0
331,6,1056,5,1,70.0,1992,1958,1056,0,1,0,0,0
332,7,1629,8,2,85.0,2004,2003,1629,0,0,1,0,0
333,6,1358,7,2,59.0,2004,2004,1358,0,0,1,0,0
334,7,943,6,2,59.0,1998,1998,1638,0,1,0,0,0
335,7,1619,5,2,0.0,1965,1965,1786,0,1,0,0,0
336,8,1922,9,2,86.0,2006,2005,1922,0,0,1,0,0
337,7,1536,7,2,70.0,2003,2002,1536,0,0,1,0,0
338,8,1621,7,2,91.0,1998,1984,1621,0,0,1,0,0
339,6,1215,6,1,66.0,1998,1958,1215,0,1,0,0,0
340,9,993,8,2,85.0,2002,2002,1908,0,0,1,0,0
341,4,841,4,1,60.0,1950,1950,841,1,0,0,0,0
342,6,1040,3,2,0.0,1950,1949,1040,0,1,0,0,0
343,6,1684,9,2,63.0,2005,2005,1684,0,0,0,1,0
344,4,536,5,1,36.0,1976,1976,1112,0,1,0,0,0
345,6,972,6,1,65.0,1950,1939,1577,0,1,0,0,0
346,5,958,6,1,0.0,1998,1960,958,0,1,0,0,0
347,6,1478,6,2,0.0,1960,1960,1478,0,1,0,0,0
348,6,764,7,2,36.0,2004,2003,1626,0,0,1,0,0
349,10,1848,9,2,56.0,2006,2005,2728,0,0,0,1,0
350,6,1869,9,2,68.0,2007,2007,1869,0,0,0,1,0
351,6,1453,7,1,0.0,1986,1986,1453,0,1,0,0,0
352,5,616,5,1,60.0,1950,1941,1111,0,1,0,0,0
353,5,720,6,1,60.0,2003,1928,720,0,1,0,0,0
354,6,1192,6,1,60.0,2000,1940,1595,0,1,0,0,0
355,6,1200,6,2,105.0,1995,1995,1200,0,0,1,0,0
356,6,1167,6,2,0.0,1992,1992,1167,0,1,0,0,0
357,6,1142,5,1,44.0,1976,1976,1142,0,1,0,0,0
358,6,1352,5,1,92.0,1958,1958,1352,0,1,0,0,0
359,7,1086,8,2,78.0,1998,1998,1924,0,0,1,0,0
360,5,912,6,1,0.0,1978,1978,912,0,1,0,0,0
361,8,988,5,1,0.0,1982,1940,1505,0,1,0,0,0
362,7,495,7,3,64.0,2003,2003,1922,0,0,1,0,0
363,5,483,6,1,21.0,2007,1972,987,0,1,0,0,0
364,6,790,6,2,0.0,1976,1976,1574,0,1,0,0,0
365,6,672,5,1,59.0,1997,1920,1344,0,1,0,0,0
366,6,1394,6,1,0.0,1963,1963,1394,0,1,0,0,0
367,6,1431,6,1,101.0,1962,1962,1431,0,1,0,0,0
368,7,1268,5,1,78.0,1954,1954,1268,0,1,0,0,0
369,7,1287,5,1,0.0,2006,1959,1287,0,1,0,0,0
370,7,953,6,2,0.0,2000,2000,1664,0,1,0,0,0
371,7,1120,4,2,80.0,1959,1959,1588,0,1,0,0,0
372,4,752,6,1,50.0,1984,1984,752,0,1,0,0,0
373,5,1319,5,1,79.0,1953,1953,1319,0,1,0,0,0
374,8,847,7,2,65.0,2004,2003,1928,0,0,1,0,0
375,4,904,1,0,0.0,1950,1922,904,1,0,0,0,0
376,5,914,5,1,57.0,1996,1996,914,0,0,1,0,0
377,8,1580,8,3,102.0,2005,2004,2466,0,0,1,0,0
378,8,1856,9,1,88.0,2010,2010,1856,0,0,1,0,0
379,7,1007,6,2,60.0,2000,2000,1800,0,1,0,0,0
380,6,1026,5,2,50.0,1950,1924,1691,0,1,0,0,0
381,5,1301,7,2,60.0,2006,2006,1301,0,0,1,0,0
382,8,939,7,2,79.0,2006,2006,1797,0,0,1,0,0
383,5,784,6,1,60.0,1950,1928,784,0,1,0,0,0
384,9,1079,6,2,0.0,1992,1992,1953,0,0,1,0,0
385,6,1269,8,2,43.0,2005,2004,1269,0,0,1,0,0
386,8,658,5,1,58.0,1996,1910,1184,0,1,0,0,0
387,6,1125,6,1,72.0,1976,1976,1125,0,1,0,0,0
388,6,1479,7,2,93.0,2000,1999,1479,0,0,1,0,0
389,9,1742,10,2,96.0,2008,2007,2332,0,0,0,1,0
390,7,961,5,1,50.0,1950,1900,1367,0,1,0,0,0
391,7,804,6,2,71.0,2002,2001,1961,0,1,0,0,0
392,5,882,5,1,0.0,1959,1959,882,0,1,0,0,0
393,4,788,4,1,0.0,1950,1941,788,0,1,0,0,0
394,5,735,5,1,60.0,1950,1940,1034,0,1,0,0,0
395,6,1144,5,1,68.0,1956,1956,1144,0,1,0,0,0
396,6,894,5,1,60.0,1972,1972,894,0,1,0,0,0
397,8,876,5,2,69.0,1962,1962,1812,0,1,0,0,0
398,6,1077,5,1,60.0,1950,1920,1077,0,1,0,0,0
399,7,1112,7,2,65.0,2007,2006,1550,0,0,1,0,0
400,4,1288,8,1,38.0,1996,1996,1288,0,0,1,0,0
401,6,1310,7,2,65.0,2005,2005,1310,0,0,1,0,0
402,4,672,5,1,60.0,1997,1940,672,0,1,0,0,0
403,10,1165,8,2,93.0,1998,1998,2263,0,0,1,0,0
404,7,806,6,2,0.0,1996,1995,1572,0,1,0,0,0
405,8,1620,4,2,0.0,1993,1976,1620,0,1,0,0,0
406,6,1166,6,1,51.0,1950,1936,1639,0,1,0,0,0
407,8,840,6,2,63.0,1976,1915,1680,0,1,0,0,0
408,9,1071,7,2,109.0,2006,2006,2172,0,0,1,0,0
409,8,1050,8,2,85.0,2008,2007,2078,0,0,1,0,0
410,5,1276,5,1,68.0,1958,1958,1276,0,1,0,0,0
